id,logtime,campaignid
"6,39069250081501E+018",2018-02-22 00:08:14.088,1188683
"1,29623337781022E+018",2018-02-22 00:08:15.900,1221633
"6,22899831382444E+018",2018-02-22 00:08:16.630,1221633
"6,97247324959826E+018",2018-02-22 00:08:21.479,1020893
"8,55438968482265E+018",2018-02-22 00:08:26.442,1049355
"5,80188874561589E+018",2018-02-22 00:08:31.822,1049355
"5,34056582952142E+018",2018-02-22 00:08:32.905,1221633
"7,64736045331286E+017",2018-02-22 00:08:35.988,1020893
"4,15819735318644E+018",2018-02-22 00:08:36.120,1199166
"8,29751015866844E+018",2018-02-22 00:08:41.729,1188683
"7,07830093015404E+018",2018-02-22 00:08:42.668,1221633
"3,28451732879437E+018",2018-02-22 00:08:46.598,1020893
"3,83505816745967E+018",2018-02-22 00:08:47.628,1221633
"5,19633616378474E+018",2018-02-22 00:08:48.626,1199166
"2,43117962985734E+018",2018-02-22 00:08:51.130,1221633
"2,36790038435244E+018",2018-02-22 00:08:51.486,1188683
"7,46336271106622E+017",2018-02-22 00:08:51.545,1188683
"3,49879526264321E+018",2018-02-22 00:08:53.202,1221633
"5,58522377912965E+018",2018-02-22 00:08:55.919,1188683
"7,83524704463862E+018",2018-02-22 00:08:57.727,1188683
"1,24427872865589E+018",2018-02-22 00:09:00.212,1232120
"4,89456479838724E+017",2018-02-22 00:09:03.413,1221633
"3,74125073685366E+018",2018-02-22 00:09:07.105,1049355
"3,88785478223088E+018",2018-02-22 00:09:08.307,1199166
"6,11873257850093E+018",2018-02-22 00:09:14.113,1049355
"7,98623996324129E+018",2018-02-22 00:09:18.009,1020893
"1,69713359990043E+018",2018-02-22 00:09:23.061,1199166
"8,63315883809227E+018",2018-02-22 00:09:23.337,1188683
"7,43104040743383E+017",2018-02-22 00:09:23.631,1020893
"7,49662999183117E+018",2018-02-22 00:09:23.833,1199166
"1,52968519215788E+018",2018-02-22 00:09:26.298,1199166
"1,99377608832736E+018",2018-02-22 00:09:28.835,1232120
"3,49803010816837E+016",2018-02-22 00:09:30.524,1188683
"7,95220849632792E+018",2018-02-22 00:09:30.916,1020893
"4,43551698684574E+018",2018-02-22 00:09:36.244,1221633
"7,83831884626774E+018",2018-02-22 00:09:37.069,1188683
"1,92540823019595E+018",2018-02-22 00:09:39.011,1221633
"4,7128345423585E+018",2018-02-22 00:09:40.927,1188683
"1,2845966363069E+018",2018-02-22 00:09:40.952,1188683
"4,18756373657516E+018",2018-02-22 00:09:41.928,1188683
"4,74895904414288E+018",2018-02-22 00:09:43.498,1049355
"1,07267661727081E+018",2018-02-22 00:09:45.746,1020893
"5,18637936709107E+018",2018-02-22 00:09:46.213,1199166
"5,5353386109537E+018",2018-02-22 00:09:47.204,1221633
"6,89833262750665E+018",2018-02-22 00:09:47.824,1232120
"2,35516608389258E+018",2018-02-22 00:09:54.285,1188683
"2,94385389425744E+018",2018-02-22 00:09:54.585,1188683
"6,56040008900455E+017",2018-02-22 00:09:58.226,1221633
"7,56622284470065E+018",2018-02-22 00:10:02.835,1221633
"4,42397880313149E+018",2018-02-22 00:10:08.766,1199166
"4,29213394803515E+018",2018-02-22 00:10:09.324,1188683
"5,36897651347672E+018",2018-02-22 00:10:13.775,1049355
"8,68230605842926E+018",2018-02-22 00:10:18.004,1049355
"5,76057172445528E+018",2018-02-22 00:10:24.031,1020893
"6,53316895436184E+017",2018-02-22 00:10:27.269,1199166
"8,26292270431595E+017",2018-02-22 00:10:37.645,1188683
"3,37899250939797E+018",2018-02-22 00:10:38.377,1221633
"2,10459320557664E+018",2018-02-22 00:10:39.358,1020893
"9,13214323765341E+018",2018-02-22 00:10:42.632,1188683
"2,78704392602172E+018",2018-02-22 00:10:43.166,1199166
"6,26116825035768E+018",2018-02-22 00:10:45.116,1020893
"6,08357469257909E+018",2018-02-22 00:10:46.233,1221633
"6,80191999902118E+017",2018-02-22 00:10:48.462,1020893
"7,72952906059127E+018",2018-02-22 00:10:50.212,1020893
"2,64289334180873E+018",2018-02-22 00:10:50.333,1199166
"3,9666881770758E+018",2018-02-22 00:10:54.072,1232120
"5,49097977933648E+018",2018-02-22 00:10:57.016,1188683
"5,81614694102435E+018",2018-02-22 00:11:01.301,1199166
"3,16931765682832E+018",2018-02-22 00:11:01.392,1232120
"4,19974751643887E+018",2018-02-22 00:11:02.339,1188683
"8,52642834147953E+018",2018-02-22 00:11:02.579,1188683
"3,00974725572817E+018",2018-02-22 00:11:05.049,1199166
"5,78537894387327E+018",2018-02-22 00:11:07.104,1221633
"7,85645765790145E+018",2018-02-22 00:11:11.410,1199166
"1,23300117469981E+018",2018-02-22 00:11:15.518,1049355
"8,62545172871407E+018",2018-02-22 00:11:18.523,1232120
"2,06403040028491E+018",2018-02-22 00:11:20.457,1020893
"2,92453846204775E+018",2018-02-22 00:11:26.176,1188683
"2,84157496420225E+018",2018-02-22 00:11:27.487,1188683
"2,80358898310106E+018",2018-02-22 00:11:27.856,1188683
"3,96843493818248E+017",2018-02-22 00:11:29.475,1199166
"7,56316707122485E+018",2018-02-22 00:11:29.593,1188683
"6,4906576429682E+017",2018-02-22 00:11:31.034,1049355
"1,39139305485245E+018",2018-02-22 00:11:31.554,1049355
"6,3090065984233E+018",2018-02-22 00:11:39.820,1049355
